Unnamed: 0,City,Country,Population (2024),Population (2023),Growth Rate,slug
93,Ningbo,China,4659830,4537901,0.0269,ningbo
94,Shantou,China,4656525,4573713,0.0181,shantou
95,New Taipei,Taiwan,4534877,4504147,0.0068,new-taipei
96,Tel Aviv,Israel,4495727,4420855,0.0169,tel-aviv
97,Kano,Nigeria,4490734,4348481,0.0327,kano
98,Shijiazhuang,China,4454132,4370473,0.0191,shijiazhuang
99,Montreal,Canada,4341638,4307958,0.0078,montreal
100,Rome,Italy,4331974,4315671,0.0038,rome
101,Jaipur,India,4308510,4207084,0.0241,jaipur
102,Recife,Brazil,4305127,4263940,0.0097,recife
103,Nanning,China,4291463,4191890,0.0238,nanning
104,Fortaleza,Brazil,4246399,4206240,0.0095,fortaleza
105,Kozhikode,India,4243962,4088555,0.038,kozhikode
106,Porto Alegre,Brazil,4239867,4211933,0.0066,porto-alegre
107,Taiyuan Shanxi,China,4226782,4145010,0.0197,taiyuan-shanxi
108,Douala,Cameroon,4203108,4063200,0.0344,douala
109,Ekurhuleni,South Africa,4190832,4118327,0.0176,ekurhuleni
110,Malappuram,India,4184921,4009087,0.0439,malappuram
111,Medellin,Colombia,4137386,4102308,0.0086,medellin
112,Changzhou,China,4085502,3981658,0.0261,changzhou
113,Kampala,Uganda,4050826,3846102,0.0532,kampala
114,Antananarivo,Madagascar,4048666,3872264,0.0456,antananarivo
115,Lucknow,India,4038214,3945409,0.0235,lucknow
116,Abuja,Nigeria,4025735,3839646,0.0485,abuja
117,Nanchang,China,4016037,3920379,0.0244,nanchang
118,Wenzhou,China,4009531,3919724,0.0229,wenzhou
119,Xiamen,China,4007468,3935484,0.0183,xiamen
120,Ibadan,Nigeria,4004316,3874908,0.0334,ibadan
121,Fuzhou Fujian,China,3998754,3922202,0.0195,fuzhou-fujian
122,Salvador,Brazil,3994982,3958384,0.0092,salvador
123,Casablanca,Morocco,3950408,3892837,0.0148,casablanca
124,Tangshan Hebei,China,3925206,3814702,0.029,tangshan-hebei
125,Kumasi,Ghana,3903481,3768239,0.0359,kumasi
126,Curitiba,Brazil,3852459,3813082,0.0103,curitiba
127,Bekasi,Indonesia,3830678,3729351,0.0272,bekasi
128,Faisalabad,Pakistan,3800193,3710845,0.0241,faisalabad
129,Los Angeles,United States,3748640,3785439,-0.0097,los-angeles
130,Guiyang,China,3661446,3580904,0.0225,guiyang
131,Port Harcourt,Nigeria,3636547,3480101,0.045,port-harcourt
132,Thrissur,India,3605238,3482456,0.0353,thrissur
133,Santo Domingo,Dominican Republic,3587402,3523890,0.018,santo-domingo
134,Berlin,Germany,3576873,3573938,0.0008,berlin
135,Asuncion,Paraguay,3568830,3510511,0.0166,asuncion
136,Dakar,Senegal,3540462,3429536,0.0323,dakar
137,Kochi,India,3507053,3406055,0.0297,kochi
138,Wuxi,China,3498740,3437346,0.0179,wuxi
139,Busan,South Korea,3477419,3471949,0.0016,busan
140,Campinas,Brazil,3458441,3422796,0.0104,campinas
141,Mashhad,Iran,3415532,3367852,0.0142,mashhad
142,Sanaa,Yemen,3407814,3292497,0.035,sanaa
143,Puebla,Mexico,3394342,3344761,0.0148,puebla
144,Indore,India,3393380,3302077,0.0277,indore
145,Lanzhou,China,3365910,3297528,0.0207,lanzhou
146,Ouagadougou,Burkina Faso,3358934,3203923,0.0484,ouagadougou
147,Kuwait City,Kuwait,3353602,3297759,0.0169,kuwait-city
148,Lusaka,Zambia,3324219,3181250,0.0449,lusaka
149,Kanpur,India,3286142,3234160,0.0161,kanpur
150,Durban,South Africa,3262128,3228003,0.0106,durban
151,Guayaquil,Ecuador,3193267,3142466,0.0162,guayaquil
152,Pyongyang,North Korea,3183135,3157538,0.0081,pyongyang
153,Milan,Italy,3160631,3154570,0.0019,milan
154,Guatemala City,Guatemala,3159631,3095099,0.0208,guatemala-city
155,Athens,Greece,3154591,3154463,0.0,athens
156,Depok,Indonesia,3133298,3041229,0.0303,depok
157,Izmir,Turkey,3120340,3088414,0.0103,izmir
158,Nagpur,India,3106340,3046687,0.0196,nagpur
159,Surabaya,Indonesia,3088748,3044413,0.0146,surabaya
160,Handan,China,3085998,3005409,0.0268,handan
161,Coimbatore,India,3083721,3009047,0.0248,coimbatore
162,Huaian,China,3071048,2979893,0.0306,huaian
163,Port Au Prince,Haiti,3060169,2987455,0.0243,port-au-prince
164,Zhongshan,China,3051065,3010685,0.0134,zhongshan
165,Dubai,United Arab Emirates,3051016,3007583,0.0144,dubai
166,Bamako,Mali,3050570,2929373,0.0414,bamako
167,Mbuji Mayi,DR Congo,3022855,2891746,0.0453,mbuji-mayi
168,Kiev,Ukraine,3020228,3016789,0.0011,kiev
169,Lisbon,Portugal,3014607,3000536,0.0047,lisbon
170,Weifang,China,2994537,2917819,0.0263,weifang
171,Caracas,Venezuela,2991727,2972145,0.0066,caracas
172,Thiruvananthapuram,India,2984154,2891119,0.0322,thiruvananthapuram
173,Algiers,Algeria,2952115,2901810,0.0173,algiers
174,Shizuoka,Japan,2935527,2937359,-0.0006,shizuoka
175,Lubumbashi,DR Congo,2933962,2811959,0.0434,lubumbashi
176,Cali,Colombia,2890433,2863730,0.0093,cali
177,Goiania,Brazil,2890418,2848473,0.0147,goiania
178,Pretoria,South Africa,2889899,2818100,0.0255,pretoria
179,Shaoxing,China,2882171,2805654,0.0273,shaoxing
180,Incheon,South Korea,2861686,2848557,0.0046,incheon
181,Yantai,China,2834508,2764584,0.0253,yantai
182,Zibo,China,2828435,2780142,0.0174,zibo
183,Huizhou,China,2827610,2758593,0.025,huizhou
184,Manchester,United Kingdom,2811756,2791005,0.0074,manchester
185,Taipei,Taiwan,2766334,2754196,0.0044,taipei
186,Mogadishu,Somalia,2726815,2610483,0.0446,mogadishu
187,Brazzaville,Republic of the Congo,2724566,2637733,0.0329,brazzaville
188,Accra,Ghana,2721165,2660072,0.023,accra
189,Bandung,Indonesia,2714215,2674000,0.015,bandung
190,Damascus,Syria,2685361,2584771,0.0389,damascus
191,Birmingham,United Kingdom,2684807,2665100,0.0074,birmingham
192,Vancouver,Canada,2682509,2657088,0.0096,vancouver
193,Toluca De Lerdo,Mexico,2674336,2626368,0.0183,toluca-de-lerdo
194,Luoyang,China,2666744,2602793,0.0246,luoyang
195,Sapporo,Japan,2660947,2666112,-0.0019,sapporo
196,Tashkent,Uzbekistan,2633661,2603243,0.0117,tashkent
197,Patna,India,2633243,2579762,0.0207,patna
198,Bhopal,India,2624865,2564502,0.0235,bhopal
199,Chicago,United States,2590002,2627520,-0.0143,chicago
200,Tangerang,Indonesia,2570980,2514077,0.0226,tangerang
201,Nantong,China,2555722,2492230,0.0255,nantong
202,Brisbane,Australia,2536449,2504505,0.0128,brisbane
203,Tunis,Tunisia,2510673,2475446,0.0142,tunis
