code,nom,typeLiaison,zone,arrondissement,departement,region,type,rangChefLieu,siren,codesPostaux,population,longitude,latitude,slug,anciensCodes,chefLieu,commune
06123,Saint-Laurent-du-Var,0.0,metro,061,06,93,commune-actuelle,0.0,210601233.0,['06700'],31645.0,7.182321989861671,43.68580257740833,saint-laurent-du-var,,,
06124,Saint-Léger,0.0,metro,062,06,93,commune-actuelle,0.0,210601241.0,['06260'],57.0,6.823212673512301,44.00212650556011,saint-leger,,,
06125,Saint-Martin-d'Entraunes,0.0,metro,062,06,93,commune-actuelle,0.0,210601258.0,['06470'],146.0,6.750379583424359,44.15019527264138,saint-martin-d-entraunes,,,
06126,Saint-Martin-du-Var,0.0,metro,062,06,93,commune-actuelle,0.0,210601266.0,['06670'],3403.0,7.198872200762107,43.81625865186181,saint-martin-du-var,,,
06127,Saint-Martin-Vésubie,0.0,metro,062,06,93,commune-actuelle,0.0,210601274.0,['06450'],1379.0,7.302626532395405,44.1021735610516,saint-martin-vesubie,,,
06128,Saint-Paul-de-Vence,0.0,metro,061,06,93,commune-actuelle,0.0,210601282.0,['06570'],3190.0,7.121047702840851,43.694835148571386,saint-paul-de-vence,,,
06129,Saint-Sauveur-sur-Tinée,0.0,metro,062,06,93,commune-actuelle,0.0,210601290.0,['06420'],295.0,7.118110930420816,44.121937296655915,saint-sauveur-sur-tinee,,,
06130,Saint-Vallier-de-Thiey,0.0,metro,061,06,93,commune-actuelle,0.0,210601308.0,['06460'],3662.0,6.850751344720764,43.69669614629773,saint-vallier-de-thiey,,,
06131,Sallagriffon,0.0,metro,061,06,93,commune-actuelle,0.0,210601316.0,['06910'],47.0,6.912890411860474,43.880769807065555,sallagriffon,,,
06132,Saorge,0.0,metro,062,06,93,commune-actuelle,0.0,210601324.0,['06540'],432.0,7.537188541203346,43.99373438376262,saorge,,,
06133,Sauze,0.0,metro,062,06,93,commune-actuelle,0.0,210601332.0,['06470'],69.0,6.804144399989114,44.08542825408821,sauze,,,
06134,Séranon,0.0,metro,061,06,93,commune-actuelle,0.0,210601340.0,['06750'],537.0,6.691022747045628,43.76524200624289,seranon,,,
06135,Sigale,0.0,metro,062,06,93,commune-actuelle,0.0,210601357.0,['06910'],202.0,6.966169174011145,43.87554278619156,sigale,,,
06136,Sospel,0.0,metro,062,06,93,commune-actuelle,0.0,210601365.0,['06380'],3807.0,7.447777669892711,43.88428231041392,sospel,,,
06137,Spéracèdes,0.0,metro,061,06,93,commune-actuelle,0.0,210601373.0,['06530'],1180.0,6.8575060603243925,43.6530863512075,speracedes,,,
06138,Théoule-sur-Mer,0.0,metro,061,06,93,commune-actuelle,0.0,210601381.0,['06590'],1418.0,6.929883811836504,43.498550709549704,theoule-sur-mer,,,
06139,Thiéry,0.0,metro,062,06,93,commune-actuelle,0.0,210601399.0,['06710'],100.0,7.043491998123523,43.97512435140738,thiery,,,
06140,Le Tignet,2.0,metro,061,06,93,commune-actuelle,0.0,210601407.0,['06530'],3158.0,6.852559989576441,43.624030172467805,le-tignet,,,
06141,Toudon,0.0,metro,062,06,93,commune-actuelle,0.0,210601415.0,['06830'],353.0,7.107975387609223,43.89198163664705,toudon,,,
06142,Touët-de-l'Escarène,0.0,metro,062,06,93,commune-actuelle,0.0,210601423.0,['06440'],303.0,7.378128703843835,43.852242546736086,touet-de-l-escarene,,,
06143,Touët-sur-Var,0.0,metro,062,06,93,commune-actuelle,0.0,210601431.0,['06710'],743.0,7.013811178022905,43.943635379255824,touet-sur-var,,,
06144,La Tour,3.0,metro,062,06,93,commune-actuelle,0.0,210601449.0,['06420'],540.0,7.200548726973956,43.96265873847449,la-tour,,,
06145,Tourette-du-Château,0.0,metro,062,06,93,commune-actuelle,0.0,210601456.0,['06830'],147.0,7.137355419657679,43.8775948321343,tourette-du-chateau,,,
06146,Tournefort,0.0,metro,062,06,93,commune-actuelle,0.0,210601464.0,['06420'],147.0,7.158767023419001,43.941838685310906,tournefort,,,
06147,Tourrette-Levens,0.0,metro,062,06,93,commune-actuelle,0.0,210601472.0,['06690'],4633.0,7.272706205208474,43.78646906453696,tourrette-levens,,,
